                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0194,                 4.0123,                 1.4136,                0.00379,                      1,                0.01116,                0.00731,                0.83181,                 4.2008,                  1.224,                  5e-05,                  5e-05,                  5e-05
                      2,                0.75239,                 3.6228,                 1.1235,                0.00369,                      1,                 0.2246,                0.16456,                 0.6652,                  4.055,                 1.0624,             0.00010782,             0.00010782,             0.00010782
                      3,                0.77557,                 3.2474,                 1.0902,                0.00382,                      1,                0.29506,                0.23285,                0.69797,                  3.932,                 1.1629,             0.00016327,             0.00016327,             0.00016327
                      4,                0.76944,                 3.0384,                 1.1139,                0.00382,                      1,                0.21643,                0.17976,                0.73083,                  3.816,                 1.1076,             0.00021634,             0.00021634,             0.00021634
                      5,                0.80896,                 2.8296,                 1.1206,                0.00395,                      1,                0.28817,                0.23065,                0.71316,                 3.7221,                 1.0502,             0.00026703,             0.00026703,             0.00026703
                      6,                0.73049,                 2.7178,                 1.0771,                0.00383,                      1,                0.23727,                0.19534,                0.71825,                 3.5596,                 1.0811,             0.00031535,             0.00031535,             0.00031535
                      7,                0.77176,                 2.7014,                 1.0688,                0.42423,                0.37355,                0.26614,                 0.2158,                0.78982,                  3.275,                 1.1351,             0.00036129,             0.00036129,             0.00036129
                      8,                0.77596,                 2.6127,                  1.115,                0.12483,                      1,                0.31222,                0.24226,                0.76227,                 3.2794,                 1.0907,             0.00040486,             0.00040486,             0.00040486
                      9,                0.80053,                 2.5387,                 1.0936,                0.16425,                0.98148,                0.22845,                0.19249,                0.73458,                 3.2789,                 1.0832,             0.00044605,             0.00044605,             0.00044605
                     10,                0.70668,                 2.3777,                 1.0112,                0.57168,                0.46616,                0.26464,                0.22136,                0.79116,                 3.2527,                 1.1123,             0.00048486,             0.00048486,             0.00048486
                     11,                0.78025,                 2.5282,                 1.0659,                0.28456,                0.51852,                0.31977,                0.27183,                0.73336,                 3.1799,                 1.0816,              0.0005213,              0.0005213,              0.0005213
